Index,Date,Stars,Title,Review
0,"May 7, 2023",5.0,AMazing product,Wow the new version of this is awesome
1,"May 7, 2023",5.0,Wonderful product,Bought for husbands bday present and they are amazing they wirk just fine with android phones too
2,"May 7, 2023",5.0,Sound cancellation,Great product. Noise cancellation is amazing. Music quality is fantastic.
3,"May 6, 2023",5.0,Eh,"Very good AirPods. Wouldn’t change them for the world. Only bad thing is tho, if you loose one or flush it down the toilet 🚽 while doing your business, then you won’t be able to use just one AirPod, you have to have the other one as well, just ask me how I know LMAO 🤣"
4,"May 6, 2023",5.0,Great sound,I have the first gen air pods and they were ok at best. The AirPods Pro are much better and the noise cancellation on these are amazing like being in a concert hall love them.
5,"May 6, 2023",5.0,Coming from AirPods Pro 1st Gen,"Let me make this short and sweet. I’ve owned the 1st gen since launch. Right side went bad. I went to Apple and they told me a replacement for one side would be $90. They also mentioned the other side could fail. They recommended me to get a new pair and the upgrade would be worth it instead of paying for replacements out of warranty.Thanked them and left the Apple Store, said I would think about it. Checked Amazon and they were on sale for $199. Bought the AppleCare too.They ARE better. The noise cancellation is definitely better and the sound profile is better. You get 4 sizes of ear tips now instead of 3. Charging case is better as well with a speaker for finding them. No regrets at all."
6,"May 6, 2023",2.0,Still connected to the previous owner’s iCloud,"Came in great shape, and got them to connect. But the previous owner never forgot the device, so I can’t use them as mine now. Why sell an Apple product that is still connected to someone else’s iCloud? This sucks, because these were supposed to replace my missing ones."
7,"May 6, 2023",5.0,Amazing!,The second GEN ear buds are much better. Especially the noise canceling
8,"May 6, 2023",5.0,Very nice,Worked fantastic right out of the box. Paired right up to my iPhone and all the features are amazing. The noise cancellation works incredible.
9,"May 6, 2023",5.0,Muy buenos pero…,"La calidad del sonido la contextura del producto es muy bueno. Lo malo es que se caen, probé con diferentes almohadillas y siempre se me cayeron los auriculares."
10,"May 6, 2023",2.0,WOULD NOT RECOMMEND!,🍎 Apple aught to be ashamed of themselves for putting crap on the market like this!The headphones fall out of my ear if I laugh or even smile while talking on the phoneand I have tried all of the suctions that come with the podsMy friend constantly tells me she cannot hear me when my volume is at its highestThe charge does not last longI find myself making sure to charge them every nightDO NOT PURCHASE! Expensive and not worth the price
11,"May 5, 2023",2.0,Tried on all the sizes they just won’t stay in my ear.,The best sound and noise canceling I’ve ever experienced in an earbud but constantly falls out of my ear. I tried every size earpiece that it came with they all slowly dislodge and then fall out.I’m sure Apple spent 100’s of millions developing these just to get the basics wrong. Will stick with my Power Beats Pro as they never fall out!
12,"May 5, 2023",5.0,Sounds is perfect,I work around LOUD heavy machinery and it cancels noise great! Also very loud.
13,"May 5, 2023",5.0,Love it,Great product I use it every day
14,"May 5, 2023",5.0,Apple of course!!!,"I like the sound quality, battery life is fair! Charge is fast!!!"
15,"May 5, 2023",5.0,Of course these are great,Apple products are wonderful
16,"May 5, 2023",5.0,As described,I got these for a relative in Australia who had heard they were great and coveted a pair. He loves the fit and sound cancelling capability.
17,"May 5, 2023",5.0,Very good.,The AirPods Pro 2 are really good. Noise canceling makes any car an electric car.
18,"May 5, 2023",1.0,These are definitely fake!,"I bought these a few months ago, I am not sure if they were returned or not. They are both uncomfortable, hard to work, and the sound quality is awful. People tell me that it sounds like pig are with me when I am using them to talk on the phone. Please help me to return them for a real version!"
19,"May 5, 2023",5.0,Must buy,Love them!
20,"May 5, 2023",1.0,Static/ Audio Issues in 2 weeks,Ordered these as a gift for my wife 4 weeks ago. Gave them to her as a birthday gift days later then after about 2 weeks she began to complain about static in the left earpiece. I reached out for a replacement and although it’s less than 30 days they say the window is closed. This new Amazon policy SUCKS!
21,"May 5, 2023",5.0,Fantastic,"Whether you like Apple or not, these are some of the best quality earbuds you can get. Sounds quality, as well as quality of the noise cancelling is superior to most other buds I’ve had. Would 100% recommend"
22,"May 4, 2023",5.0,The Best!,"Me han encantado, aunque creo que esperaba mucho más de la cancelación de ruido, no sé si eso mejore con un cambio de almohadillas o que yo viva en un lugar muy ruidoso, hay mucho hipe en internet, pero por sobre todas las cosas no los dejaría de recomendar, al escuchar música cumple al 100% su función y la calidad es increible"
23,"May 4, 2023",5.0,My first AirPods!!,"I’m so excited ,my first AirPods! They can announce when anyone calls if you’re listen to music, they have different ear fittings for a comfortable fit. You don’t know they’re in your ear. Love!! Love!!"
24,"May 4, 2023",3.0,Finicky charging?,"I seem to be the only one experiencing this based on reviews but I have issues with my AirPods charging. I don’t even use them that much, they aren’t dirty, but I often go to put them in and find one or both of the ear buds totally dead. They aren’t sitting in the case correctly I’m guessing? Very frustrating. Otherwise I like how they fit and the noise canceling is decent, just wish they were more reliable."
25,"May 4, 2023",3.0,Do not buy if you are not nearby an apple store,"If you don't use iphone or ipad, and your airpod has issue. Good luck, it is a hassle."
26,"May 4, 2023",1.0,Nasty disgusting,As you can see in the pictures i was disgusting and disappointed when i opened my package.
27,"May 4, 2023",5.0,They are awesome headphones,"I had Apple AirPods when they were first released a few years ago. Those were my favorite headphones. These new AirPods Pros are really great to use. I am able to listen to music, take calls, and travel with them. Also, they work well between iPhone and Mac, they are easy to switch devices. They are seamless to use and feel almost like magic. Thanks for releasing these Apple and great work to all the engineers and scientists"
28,"May 4, 2023",2.0,Falling apart,"Don't buy, not even a year later they are falling apart. Also the feature of location find is not working anymore."
29,"May 4, 2023",5.0,Another best buy,"I had to replace my last set and debated on spending the money but I am glad I did. I do not leave home without them. Great for laying by the pool and also, ignoring the neighbors."
30,"May 4, 2023",1.0,Don't buy these,"I HATE these AirPods. Connecting them to my iPhone is a nightmare. they never connect the first time. If you take one off for a moment and then put it back on the pair refuse to play together until I take them both out and put them back on together. No one can hear me talk on the phone when I use them for phone calls. Everyone says I sound muffled or like I am underwater. on top of these issues they fallout constantly. it is extremely stupid and irritating. I have tried troubleshooting, switching the ear cushions etc. nothing is working. I had the 2nd generation AirPods (not pro) and they were great. the sound was great, I never had issues with them falling out or people not being able to hear me talk on the phone. There's a reason they still sell those. These are not worth the cost. I am going to sell them and buy Sony earbuds."
31,"May 4, 2023",1.0,Keep cutting out,These cut out and glitch constantly until I disconnect and reconnect Bluetooth. I think I may have received and refurbished pair or something.
32,"May 4, 2023",5.0,An upgrade from first generation.,More features and much better noise cancellation system. Well worth the upgrade. Also got a good deal which made it even better.
33,"May 4, 2023",4.0,Awesome AirPods Pro!,"Four stars! I received these AirPods Pro as a Christmas gift last year and immediately loved them! I appreciate these AirPods for their design, functionality and features.To begin, the new generation of AirPods Pro has a sleek design with shorter arms. The shorter arms make the AirPods look more modern and prevents from getting caught on your shirt/sweater when changing. The earbuds also now include silicone ear tips for more comfort. The purchase comes with 4 extra replaceable ear tips that offer different sizes or your unique ear shape as well. This is helpful to find your specific size. I havent experienced any trouble with the earbuds staying put in my ears. The case is slightly larger than previous generations, which makes it easier to find when digging in your bag to grab them, however still compact enough to easily fit into pockets. On the case, you’ll find a speaker that plays sounds to locate in case lost and alerts you when the battery is running low, a charging port and lanyard loop.Second, the AirPods Pro score highly when it comes to functionality. The sound quality is great and highly improved in comparison to previous models. It has clear, crisp sound and rich bass which makes the experience much more enjoyable. I feel like I’m in the studio! This new generation offers Active Noise Cancellation. This greatly helps block out any surrounding noise that distracts whatever you’re listening to. On the other hand, the AirPods Pro also offer Transparency mode. This mode makes it useful to easily hear your surroundings while your audio remains playing. It has an echo effect that slightly tunes out the music while mainly focusing on voices directly in front of you. Basically, this is the opposite of the ANC feature I previously mentioned.Lastly, similar to the older AirPods, the case includes a built-in lightning charger as well as a charging port. It has a 6 hour battery life from a single charge! A 4 ft cord is also provided in the box. The new U1 chip enables the Find My feature with precise finding for the case.Aside from the pricetag, I am very impressed with the new, extra features that the AirPods Pro offers!"
34,"May 4, 2023",5.0,Perfect gift!,Got these as a birthday gift for my brother in law! He was so happy!
35,"May 4, 2023",5.0,Top quality,"Top quality sound, easy and quick connection"
36,"May 3, 2023",1.0,Not worth the money,Worked great for a few days… been on my bedside table for about a month… picked them up to use them last night and they were staticky… disconnected and reconnected and still same issue… what a waste..
37,"May 3, 2023",5.0,Love it!,Love my Apple Airpods Pros !!!!!
38,"May 3, 2023",5.0,I like them,I like the noise cancelling feature the most.
39,"May 3, 2023",5.0,Amazing!,Had the last gen and upgraded after loosing them. New ones blew me away! Fidelity beyond anything I’ve heard in an earbud style. Battery goes forever!
40,"May 3, 2023",2.0,Full of known issues ranging from software to hardware,"I received these as a gift on Christmas back in 2020. I would say it’s been a good few years that these have worked, but that would be a false statement. From the beginning there were multiple instances of connection issues to my iPhone. The headphones have a known issue of making rattling, buzzing and vibration sounds, with or without noise cancellation on. This was pointed out to me by Apple customer service. I had to send these in twice when they were under warranty to have each earbud replaced for this reason, which only increased the connectivity issues even after going through the pairing and resetting guide with and without help from customer service. Despite this, the new earbuds I received had the EXACT same issues that I had to send them in for originally, and they were out of warranty. I refused to spend 1/3 of the cost of a brand new set on repair service, so I’ve been dealing with the strange buzzing sounds ever since (about 1.5 years of buzzing). Despite frequent software updates, my right headphone no longer responded to “Hey Siri” commands, completely ignoring them. Ever since I received the first new pair, I’ve had friends complain how they can’t hear me well when I use them for phone calls. Finally, the very last straw from this product was when the case would not charge my AirPods. I fully charged the case for multiple hours, and the battery of the case would flicker from 100% while charging to 0% immediately after I removed the charger from the case. Now the case only charges the AirPods while the case is on the charger. I looked it up and it is a battery fail issue, which would cost me money to have replaced. Probably over $100 repair. I decided I would rather spend my money on a $40 pair of bluetooth noise cancelling headphones that would likely do a better job at the mangled mess of failed operations that my AirPods did in the last 2 years of use.The noise cancellation is okay, I have a pair of Bose headphones that do a better job that I would use instead if that’s what I was looking for. “Hey Siri” commands are nice if they work (like only my left headphone would). Sound quality is good but nothing special. Would I recommend these? No. Get yourself a better functioning pair, you’re only paying for name brand here."
41,"May 3, 2023",1.0,Item stopped working,Both left and right ear will not work and even though product is under warranty Apple will not repair it. This might have been refurbished or water damaged from seller and now I’m stuck with this crap. Don’t buy it!
42,"May 2, 2023",5.0,Can’t beat an apple product!,I was concerned about the fit but with three sizes included I found a great fit!
43,"May 2, 2023",1.0,Deficient product,The product was deficient and it was not able to be properly charged
44,"May 2, 2023",5.0,very comfortable,"I am delighted to provide a glowing review for the Apple AirPods Pro (2nd Generation) Wireless Earbuds. These earbuds are an incredible piece of technology that provides an amazing audio experience like no other.The standout feature of the AirPods Pro is the active noise cancelling technology. With up to 2x more active noise cancelling than the previous generation, these earbuds provide an incredibly immersive audio experience. I was amazed at how effectively they blocked out background noise, making it easy to fully concentrate on my music or podcasts.But what really sets these earbuds apart is the adaptive transparency feature. This feature allows me to hear important external sounds, like traffic or a person speaking to me, while still enjoying my audio content. It's an incredibly useful feature that ensures I stay safe and aware of my surroundings while still enjoying my audio.The sound quality of the AirPods Pro is top-notch as well. The bass is deep and rich, while the mid-range and treble are crisp and clear. Whether I'm listening to music or podcasts, the audio is always balanced and enjoyable.The earbuds themselves are also comfortable and easy to wear. The silicone tips fit securely in my ears and the earbuds stay in place even during vigorous exercise. And with the wireless charging case, I never have to worry about running out of battery.Overall, I highly recommend the Apple AirPods Pro (2nd Generation) Wireless Earbuds. They are an incredible piece of technology that provide an immersive audio experience and a comfortable fit. If you're in the market for high-quality earbuds, the AirPods Pro are definitely worth considering."
45,"May 2, 2023",5.0,great sound,They stay in your ears even when active.
