Index,Date,Stars,Title,Review
0,"October 7, 2020",4.0,Only works on Apple Products,  Doesn't work on any Bluetooth phone. I got it for my iPad and my phone.
1,"October 7, 2020",5.0,Great stuff,  These work great with my I phone and good delivery as well
2,"October 7, 2020",5.0,Very good!,  Cane is the box very good
3,"October 7, 2020",2.0,Not new,  Opened it for the first time and Bluetooth’d to my daughters phone and it says “daddy’s AirPods”These were told they would be new.... they obviously aren’t.
4,"October 7, 2020",4.0,How they work,  my left airpod kept getting low so i returned em & got new ones but my left one still low asf but they ight tho
5,"October 7, 2020",1.0,I got bad Apple ear pods.,"  My right ear plug stopped working and charging too . I really have no use for them now, so what do I do with them, just stare at them. I thought I had a warranty on them but nobody is helping me so HELP"
6,"October 7, 2020",5.0,Great earbuds,"  Purchased AirPods for my wife, she really likes them a lot and I got them at a great price thanks to Amazon Warehouse.  The sound quality is adequate for the design, depending on the sound quality you are looking for may want to step up to the pro model or check out the Powerbeat Pros as an alternative.  Overall we are happy with the purchase."
7,"October 7, 2020",5.0,Handy to be wireless,"  It's great to cut the wires, welcome to 2020."
8,"October 7, 2020",5.0,Good quality,  Good quality
9,"October 7, 2020",5.0,Perfect!,  Love them I use them every day!
10,"October 7, 2020",5.0,Great buy!!!,  I loved it and I will buy again
11,"October 7, 2020",2.0,Stopped working after 7 months,"  I got these Airpods in late March 2020. I went to use them today, Oct 2020, to make a call and my cell was not connecting. I've shutdown my cell, plugged the Airpod cord to another outlet, pushed the button on the back of the airpod case, and tried to connect with another cell phone and nothing worked. The light on the case never would come on. I keep the case plugged in most of the time and it's generally charging every day. Now, I'm going to have to find an apple store so they can see if it's defected. I would be livid if I lived in a small town that had no apple store. Hopefully, my experience with this at the store will be a good one as it's been less than a year since I've purchased these."
12,"October 6, 2020",5.0,I love them,  I love them
13,"October 6, 2020",4.0,Stay in my ears,"  Earbuds with the rubber tips have never fit my ears very well — they either fall out easily or hurt after a while. But Apple’s wired earbuds have always fit way better for me, and the same is true of the AirPods! The sound quality is good enough for listening to music or watching a tv show. I wouldn’t do music production or sound mixing with them, but that’s not really what these are for anyway.The new IOS 14 update makes these MUCH more convenient. When switching between my iPad and iPhone, the airpods seamlessly switch over automatically."
14,"October 6, 2020",5.0,Perfect and I don’t say that about anything,"  These things are sooooo money. Sound great, don’t fall out and look cool. Don’t even look at others your just wasting time that you could be listening to you tunes. Buy it"
